product_id,product_name,category,price,generated_description
1,Smartphone 1,Electronics,51695.0,This smartphone is an electronics product suitable for personal mobile use.
2,Laptop 2,Electronics,3463.34,"This Laptop 2 is a computing device suitable for general computing tasks, ideal for everyday use. It falls under the category of Electronics. Available for purchase at ₹3463.34."
3,Wireless Headphones 3,Electronics,23089.8,"Wireless Headphones 3 are a type of audio accessory suitable for listening to music, podcasts, and audiobooks on the go."
4,Smartwatch 4,Electronics,19022.04,"A smartwatch is a wearable device designed to track and display various health and fitness metrics, as well as receive notifications, suitable for general health and fitness tracking."
5,Tablet 5,Electronics,59312.99,This Tablet 5 is an electronics product designed for general use and entertainment purposes. It belongs to the Electronics category.
6,Digital Camera 6,Electronics,54620.91,A digital camera is an electronic device suitable for capturing and recording visual images. It is a product within the Electronics category. The Digital Camera 6 is a device available for purchase priced at ₹54620. ₹54620.91.
7,Mechanical Keyboard 7,Electronics,71536.1,A Mechanical Keyboard 7 is an electronics product suitable for typing and input tasks.
8,Wireless Mouse 8,Electronics,8324.7,"The Wireless Mouse 8 is an electronics product designed for computer use, allowing users to navigate and interact with their computer interface with ease, providing a convenient and efficient way to perform everyday tasks."
9,Computer Monitor 9,Electronics,34620.86,A computer monitor is a display device suitable for general viewing tasks.
10,Bluetooth Speaker 10,Electronics,3839.08,"This Bluetooth Speaker 10 is an electronics product designed for music listening and entertainment. It belongs to the category of audio equipment, equipment, providing a portable and wireless audio solution for individuals and groups."
11,Cotton T-Shirt 11,Fashion,1983.51,A cotton t-shirt suitable for casual wear in the fashion category.
12,Slim Fit Jeans 12,Fashion,4191.24,Slim Fit Jeans 12 are fashion items suitable for casual wear.
13,Casual Jacket 13,Fashion,504.33,"This Casual Jacket 13 is a fashion item suitable for everyday wear. It is designed for casual occasions, adding a stylish touch to any outfit. Perfect for those who prioritize comfort and versatility, this jacket is a versatile addition to any wardrobe."
14,Running Sneakers 14,Fashion,1831.05,"Running Sneakers 14 are fashion footwear designed for running and other athletic activities. They are suitable for individuals who engage in regular physical exercise or sports. The sneakers are a part of the fashion category, providing a stylish and functional option for those looking to upgrade their athletic footwear."
15,Pullover Hoodie 15,Fashion,5304.11,"This Pullover Hoodie 15 is a fashion item designed to provide warmth and comfort. It falls under the category of clothing, specifically a type of casual outerwear. The hoodie is suitable for everyday wear, making it a versatile addition to any wardrobe."
16,Travel Backpack 16,Fashion,4496.05,"A travel backpack designed for fashion enthusiasts, suitable for daily commutes and weekend getaways. The Travel Backpack 16 is a versatile and stylish accessory that provides ample space for essentials. Its fashionable design makes it a great addition to any outfit."
17,Wrist Watch 17,Fashion,1997.39,"A wrist watch is a timepiece suitable for wearing on the wrist, typically serving a functional purpose of telling time. It falls under the category of fashion, a product designed to enhance personal style and aesthetic appeal. The wrist watch is priced at ₹1997.39."
18,Sunglasses 18,Fashion,4837.35,"This pair of sunglasses is designed for fashion purposes. Suitable for casual wear, they are a part of the fashion category. The sunglasses are priced at ₹4837.35."
19,Casual Shoes 19,Fashion,6532.61,"Casual Shoes 19 is a fashion accessory suitable for everyday wear. Designed for comfort, these shoes feature a classic style. They are part of the fashion category and are priced at ₹6532.61."
20,Baseball Cap 20,Fashion,350.04,"This Baseball Cap 20 is a fashion accessory designed for casual wear. It is suitable for everyday use and outdoor activities. The cap is made from a specific material and features a classic design. It is priced at ₹350.04, ₹350.04, making it a budget-friendly option for those seeking a simple hat."
21,Python Programming Book 21,Books,2063.09,"A comprehensive Python programming book, suitable for those looking to learn or improve their Python programming skills."
22,Data Science Book 22,Books,1820.81,"This Data Science Book 22 is a book in the category of Books, priced at ₹ ₹1820.81."
23,Machine Learning Book 23,Books,1015.56,"A book on machine learning is a resource for learning and understanding complex algorithms and techniques used in machine learning. This book is a part of the Machine Learning series, catering to individuals and professionals looking to expand their knowledge in the field of machine learning."
24,AI Fundamentals Book 24,Books,599.83,The AI Fundamentals Book 24 is a book suitable for learning the basics of artificial intelligence.
25,Database Systems Book 25,Books,2403.73,"This Database Systems Book 25 is a comprehensive resource for understanding database systems, covering various concepts and techniques in the field. It is a suitable book for students and professionals looking to learn about database systems and their applications. The book provides a general overview of database systems, making it a valuable addition to any library or personal collection."
26,Operating Systems Book 26,Books,1007.34,"This book, Operating Systems Book 26, is a resource for those interested in computer systems and programming. It falls under the category of Books, offering a general knowledge base on operating systems. With a price of ₹ ₹1007.34, it is an entry-point for learning about computer systems and their operations."
